"","source","value"
"566","cgtn",-3
"567","cgtn",-3
"568","cgtn",-2
"569","cgtn",-2
"570","cgtn",-2
"571","cgtn",1
"572","cgtn",1
"573","cgtn",-2
"574","cgtn",-1
"575","cgtn",-2
"576","cgtn",-1
"577","cgtn",-2
"578","cgtn",-1
"579","cgtn",-2
"580","cgtn",-2
"581","cgtn",-2
"582","cgtn",-2
"583","cgtn",-2
"584","cgtn",-2
"585","cgtn",-2
"586","cgtn",-1
"587","cgtn",1
"588","cgtn",-3
"589","cgtn",1
"590","cgtn",-2
"591","cgtn",1
"592","cgtn",1
"593","cgtn",1
"594","cgtn",2
"595","cgtn",2
"596","cgtn",-2
"597","cgtn",1
"598","cgtn",-1
"599","cgtn",1
"600","cgtn",2
"601","cgtn",2
"602","cgtn",-2
"603","cgtn",2
"604","cgtn",1
"605","cgtn",1
"606","cgtn",1
"607","cgtn",-2
"608","cgtn",-2
"609","cgtn",-2
"610","cgtn",-2
"611","cgtn",2
"612","cgtn",1
"613","cgtn",1
"614","cgtn",1
"615","cgtn",-2
"616","cgtn",-2
"617","cgtn",-2
"618","cgtn",1
"619","cgtn",-1
"620","cgtn",-1
"621","cgtn",-2
"622","cgtn",-2
"623","cgtn",-1
"624","cgtn",-2
"625","cgtn",2
"626","cgtn",-2
"627","cgtn",-3
"628","cgtn",-2
"629","cgtn",-2
"630","cgtn",1
"631","cgtn",-2
"632","cgtn",1
"633","cgtn",-2
"634","cgtn",-2
"635","cgtn",-3
"636","cgtn",-2
"637","cgtn",-2
"638","cgtn",-1
"639","cgtn",-1
"640","cgtn",2
"641","cgtn",-3
"642","cgtn",2
"643","cgtn",1
"644","cgtn",-2
"645","cgtn",-2
"646","cgtn",-1
"647","cgtn",-2
"648","cgtn",1
"649","cgtn",-2
"650","cgtn",-2
"651","cgtn",-2
"652","cgtn",-2
"653","cgtn",3
"654","cgtn",-2
"655","cgtn",2
"656","cgtn",-2
"657","cgtn",-3
"658","cgtn",-3
"659","cgtn",-2
"660","cgtn",2
"661","cgtn",-3
"662","cgtn",-2
"663","cgtn",-2
"664","cgtn",-2
"665","cgtn",-1
"666","cgtn",-2
"667","cgtn",-1
"668","cgtn",-2
"669","cgtn",-2
"670","cgtn",-2
"671","cgtn",-1
"672","cgtn",-2
"673","cgtn",-2
"674","cgtn",-3
"675","cgtn",-3
"676","cgtn",-1
"677","cgtn",-2
"678","cgtn",-2
"679","cgtn",-2
"680","cgtn",-2
"681","cgtn",-2
"682","cgtn",-2
"683","cgtn",-3
"684","cgtn",-3
"685","cgtn",-1
"686","cgtn",-2
"687","cgtn",-1
"688","cgtn",-2
"689","cgtn",-2
"690","cgtn",-1
"691","cgtn",2
"692","cgtn",-2
"693","cgtn",-2
"694","cgtn",-3
"695","cgtn",2
"696","cgtn",1
"697","cgtn",-2
"698","cgtn",2
"699","cgtn",1
"700","cgtn",-1
"701","cgtn",-1
"702","cgtn",1
"703","cgtn",-2
"704","cgtn",-2
"705","cgtn",-2
"706","cgtn",-3
"707","cgtn",2
"708","cgtn",-2
"709","cgtn",-3
"710","cgtn",-2
"711","cgtn",2
"712","cgtn",-2
"713","cgtn",-3
"714","cgtn",-4
"715","cgtn",1
"716","cgtn",-2
"717","cgtn",-2
"718","cgtn",2
"719","cgtn",-2
"720","cgtn",1
"721","cgtn",-2
"722","cgtn",-2
"723","cgtn",-2
"724","cgtn",1
"725","cgtn",-2
"726","cgtn",-2
"727","cgtn",-2
"728","cgtn",-1
"729","cgtn",-2
"730","cgtn",-2
"731","cgtn",-2
"732","cgtn",-2
"733","cgtn",1
"734","cgtn",-2
"735","cgtn",2
"736","cgtn",1
"737","cgtn",2
"738","cgtn",1
"739","cgtn",-2
"740","cgtn",-3
"741","cgtn",-2
"742","cgtn",-2
"743","cgtn",-2
"744","cgtn",-2
"745","cgtn",1
"746","cgtn",-4
"747","cgtn",-2
"748","cgtn",-1
"749","cgtn",-2
"750","cgtn",2
"751","cgtn",-1
"752","cgtn",1
"753","cgtn",-2
"754","cgtn",-3
"755","cgtn",-2
"756","cgtn",-2
"757","cgtn",-1
"758","cgtn",-2
"759","cgtn",-2
"760","cgtn",2
"761","cgtn",1
